,Title,Price
0,Stop In or Call Us for More Information on Our 2003 Lexus ES 300,"$5,299"
1,"Wow! A 2009 Kia Spectra with 129,453 Miles","$4,399"
2,HONDA ELEMENT 2004 CLEAN CARFAX RUNS PERFECT,"$3,900"
3,"::2013::CHRYSLER::300:::Premium::""20"" inch OEM","$6,795"
4,::2015 Nissan Pathfinder SV 4WD 142k::,"$8,895"
5,2004 Chevy s10 crew cab,"$2,999"
6,2012 Acura MDX SH-AWD w/Tech Navi Camera Bluetooth 3rd Row Seats SH-AWD 4dr SUV,"$15,995"
7,2015 toyota camry le,"$4,900"
8,2018 Nissan Altima 101K One Owner Like New Condition Drives Like New,"$12,550"
9,CHEVY IMPALA 2012 LTZ RUNS PERFECT,"$3,900"
10,"► 2020 FORD TRANSIT T-250 LWB - GREAT ""ALL WHEEL DRIVE"" CARGO VAN","$40,995"
11,2013 BMW X3 xDrive28i AWD~119k Miles~Finance HERE~~DEAL~~Full-Hartford,"$10,995"
12,BROKE BUT NEED A CAR? I CAN HELP,$588
13,2007 Ford F-350 F350 F 350 SD LARIAT 4x4 Crew Cab Diesel FX4 Off-Road Pkg Lariat,"$19,995"
14,2012 Volvo Xc70//1::Owner// AWD,"$7,800"
15,2009 Audi A4 Quattro AWD 2.0T~~105K Miles~~Manual~~Finance HE-Hartford,"$8,995"
16,2012 Ford Escape Limited AWD~Leather & Sunroof~123K~Finance H-Hartford,"$7,995"
17,2010 Toyota Camry SE,"$5,500"
18,2008 Dodge Avenger SXT,"$2,900"
19,16 Ft Uhaul Box Truck for Sale Year 2006,"$4,200"
20,"✔ ☆☆ SALE ☛  17  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$13,995"
21,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,200"
22,2012 Subaru impreaza,"$4,900"
23,2010 Subaru impreza,"$6,850"
24,2001 Ford F250 XLT 7.3L Power Stroke Turbo Diesel 4X4 Extended Super C,"$3,950"
25,2009 Audi A4 2.0T Quattro / AWD,"$8,695"
26,::2013::Ford::Explorer::XLT::4X4::,"$12,900"
27,Ford f250 Super duty 4x4 ZERO RUST 99k for miles!,"$5,750"
28,2006 Kia Amanti 67k miles!!!!!,"$6,700"
29,"2012 Nissan Maxima SV, 134k miles","$13,995"
30,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,999"
31,2014 Chrysler Town and Country Touring,"$5,299"
32,2003 Lexus GS 300 CLEAN! 140k,"$9,995"
33,"✔ ☆☆ SALE ☛  14  Dodge Charger, Hemi, AWD/4WD, Lead Foot Gray,  5.7L !","$6,600"
34,"2013 Chevrolet Sonic,  93k miles","$7,495"
35,2011 HONDA CRZ,"$6,995"
36,2008 SUBARU IMPREZA,"$7,995"
37,"✔ ☆☆ SALE ☛  13 Ford Explorer, AWD / 4WD,  Black !!!!!","$7,495"
38,2010 SUBARU LEGACY,"$7,995"
39,2007 TOYOTA  CAMRY XLE,"$4,000"
40,1999 F350 Super Duty 7.3 with Fisher Plow PARTS TRUCK,"$2,995"
41,2005 Chevrolet Silverado 1500 For Sale Chevy Pickup V8,"$5,000"
42,2007 E-250 Van,"$6,495"
43,2013 Chevrolet Malibu LT,"$3,900"
44,2008 Jeep Patriot,"$8,500"
45,1965 Ford Falcon 2Dr,"$9,995"
46,2010 BMW 5 Series 4dr Sdn 535i xDrive AWD Automatic Gray on B-Hartford,"$13,995"
47,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo","$10,495"
48,2010 BMW 5 Series 4dr Sdn 528i xDrive AWD Automatic-Hartford,"$14,995"
49,2013 Honda CRV EX AWD SUV One Owner,"$25,000"
50,2012 Chevy silverado 1500 LT One Owner,"$4,500"
51,2005 Toyota Camry LE,"$4,499"
52,For Sale 2008 Chevy Suburban LT 4x4,"$9,999"
53,2009 Subaru Legacy 4dr H4 Auto Special Edition CONTACTLESS PRE APPROVAL!!,"$15,995"
54,"An Impressive 2015 Audi A4 with 85,513 Miles-Hartford","$24,990"
55,2012 GMC Sierra 1500 SLE Crew Cab 4WD,"$7,495"
56,2009 TOYOTA COROLLA 1.8L 4 Cyl* Sedan* Economical* Great Safe Vehicle* *EASY FIN,"$3,500"
57,2012 Ford Fiesta S 180k,"$11,000"
58,2010 Volvo VNL Cummins ISX daycab,"$6,495"
59,2010 SUBARU IMPREZA OUTBACK SPORT * Manual Trans* Clean* Hatchback* WOW! *EASY F,"$8,495"
60,2009 SUBARU LEGACY 2.5I AWD Sedan* 4 Cyl* Clean* Ready To Go* *EASY FINANCING -,"$2,250"
61,1992 GMC 3500 HD Sealing Truck,"$69,990"
62,2018 Ford F-250 SD CREW CAB LARIAT DIESEL 4X,"$4,500"
63,2002 Lexus RX300,"$3,500"
64,2004 bmw 325ci,"$11,795"
65,2014 SUBARU OUTBACK 2.5I Premium AWD 4 Cyl* Clean* WOW* *EASY FINANCING - ALL AP,"$14,000"
66,1970 Chevy C10,"$59,990"
67,2017 Chevrolet Silverado 2500HD LTZ Crew Cab Long Box 4WD,"$5,500"
68,2010 Volkswagen CC,"$12,995"
69,2016 DODGE GRAND CARAVAN SE* Van* Clean* Must See  Drive* *EASY FINANCING -,"$14,500"
70,2016 Subaru legacy 2.5i PZEV Premium Sedan,$0
71,💥*🚗 -2013-RAM Ram Pickup 2500 Tradesman 4x4 4dr Crew Cab 6.3 ft.,"$21,000"
72,"2015 FORD EXPLORER SPORT 4WD 4DR SPORT CAR,VANS,OIL,TRUCKS,DUMP BODY ,UTILITY","$6,900"
73,2010 subaru forester,"$17,500"
74,"2012 PRICE REDUCTION !! N FRONTIER 4WD CREW CAB SWB AUTO SV CAR,VANS,OIL,TRUCKS,","$16,900"
75,2016 Isuzu NPR - GAS - Hackney Box 157k,"$12,499"
76,2017 SUBARU LEGACY AWD NICE,"$4,399"
77,2010 nissan altima 2.5 {{S}} push to start,"$39,995"
78,2016 Ford F-350 F350 F 350 SD XLT Crew Cab 4X4 Diesel w/ 9ft V SNOW PLOW 4x4 XLT,$0
79,💥🚗🚗- 2009  Chevrolet Silverado 1500-LT 4x4 2dr Regular Cab 6.5 ft.,"$10,995"
80,2012 Hyundai Tucson GLS AWD~~67K Miles!~~Reliable!~Finance HERE~DEAL~!,"$21,995"
81,2008 Ford F-350 F350 F 350 SD XLT 4x4 DUALLY DRW Diesel w/ Bed Cap Super Duty -,$500
82,1970 VW Karmann Ghia parts car,"$5,995"
83,2010 Nissan Altima 2.5S W/100K Miles!~~Reliable~~Finance HERE~~DEAL~~!,"$26,995"
84,2017 Ram ProMaster 1500 Cargo~92K~W/Roof Rack & Shelves~DEAL~Finance~!,"$12,995"
85,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo",$588
86,"SLOW CREDIT, NO CREDIT NO PROBLEM-JUST PROVE STABLE INCOME@RESIDENCY","$24,995"
87,2015 Infiniti QX70 Base AWD,"$15,995"
88,✔ ☆☆ SALE ☛  14 FORD EXPLORER AWD / 4WD 68K MILES !!!!!,"$19,995"
89,2018 Chevrolet City Express Cargo Van~~70K Miles~~DEAL~~Finance HERE~~,"$7,995"
90,2010 Nissan Altima 2.5 SL 4dr 1OWNER 90 DAY WARRANTY!!!!,"$4,999"
91,2010 Ford Fusion SEL 111k ONE OWNER,"$8,500"
92,2009 BMW 328i  M Sport  6 Speed,"$8,995"
93,"2011 Toyota Camry LE Sedan, LOW MILES, 1 OWNER, 90 DAY WARRANTY!!!","$17,500"
94,2017 Subaru Impreza Sport Hatchback,"$3,995"
95,2005 Scion XA Hatchback For Sale,"$2,999"
96,2010 Hyundai Sonata///GLS///,"$3,600"
97,2009 nissan Altima SL//1 owner//,"$4,900"
98,Hyundai Elantra -- 58k miles -- 1 owner,"$3,699"
99,"2002 audi """"A6"""" :::Awd:::QUATTRO","$6,200"
100,"2015 KIA SOUL 4 cly, manuel transmission, Bluetooth, usp, aux.145k mik","$6,500"
101,2001 Mazda Miata,"$12,995"
102,1954 International Harvester R162 2wd,"$6,900"
103,NISSAN PATHFINDER 2011 4WD CLEAN CARFAX RUNS PERFECT,"$31,499"
104,2017 Ford F-150 F150 F 150 XLT 4WD SuperCrew 5.5 Box CONTACTLESS PRE A,"$6,950"
105,2011 Mazda 3 Touring,"$12,450"
106,2005 Toyota Tundra SR5 4x4 Access Cab,"$9,450"
107,2008 Honda CR-V EX,"$8,450"
108,2010 Honda Civic Sedan,"$4,500"
109,2008 Lincoln Navigator,"$16,950"
110,2011 Ford F-150 SuperCrew FX4 4x4,"$7,950"
111,2012 Ford Fusion SEL AWD,"$10,950"
112,2010 Lexus ES 350,"$14,500"
113,Camaro 1967   4 - speed,"$5,495"
114,2003 SAAB 9-3 LINEAR* 2.0t Sedan WOW+ *EASY FINANCING - ALL APPROVED,"$5,995"
115,2008 FORD FOCUS SE SEDAN 4 Cyl 2.0L* WOW *EASY FINANCING - ALL APPROVED,"$20,995"
116,2013 Ford* F150 XLT CREW CAB 3.5L V6 4X4 PICKUP TRUCK LOW MILES* WOW *EASY FINAN,"$6,000"
117,4x4 Japanese Mini Trucks / Dump Trucks - Street Legal in CT!,"$86,990"
118,2017 Ford F-450 SD DULLY CREW CAB,
119,Stop In or Call Us for More Information on Our 2003 Lexus ES 300,"$5,299"
120,"Wow! A 2009 Kia Spectra with 129,453 Miles","$4,399"
121,HONDA ELEMENT 2004 CLEAN CARFAX RUNS PERFECT,"$3,900"
122,"::2013::CHRYSLER::300:::Premium::""20"" inch OEM","$6,795"
123,::2015 Nissan Pathfinder SV 4WD 142k::,"$8,895"
124,2004 Chevy s10 crew cab,"$2,999"
125,2012 Acura MDX SH-AWD w/Tech Navi Camera Bluetooth 3rd Row Seats SH-AWD 4dr SUV,"$15,995"
126,2015 toyota camry le,"$4,900"
127,2018 Nissan Altima 101K One Owner Like New Condition Drives Like New,"$12,550"
128,CHEVY IMPALA 2012 LTZ RUNS PERFECT,"$3,900"
129,"► 2020 FORD TRANSIT T-250 LWB - GREAT ""ALL WHEEL DRIVE"" CARGO VAN","$40,995"
130,2013 BMW X3 xDrive28i AWD~119k Miles~Finance HERE~~DEAL~~Full-Hartford,"$10,995"
131,BROKE BUT NEED A CAR? I CAN HELP,$588
132,2007 Ford F-350 F350 F 350 SD LARIAT 4x4 Crew Cab Diesel FX4 Off-Road Pkg Lariat,"$19,995"
133,2012 Volvo Xc70//1::Owner// AWD,"$7,800"
134,2009 Audi A4 Quattro AWD 2.0T~~105K Miles~~Manual~~Finance HE-Hartford,"$8,995"
135,2012 Ford Escape Limited AWD~Leather & Sunroof~123K~Finance H-Hartford,"$7,995"
136,2010 Toyota Camry SE,"$5,500"
137,2008 Dodge Avenger SXT,"$2,900"
138,16 Ft Uhaul Box Truck for Sale Year 2006,"$4,200"
139,"✔ ☆☆ SALE ☛  17  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$13,995"
140,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,200"
141,2012 Subaru impreaza,"$4,900"
142,2010 Subaru impreza,"$6,850"
143,2001 Ford F250 XLT 7.3L Power Stroke Turbo Diesel 4X4 Extended Super C,"$3,950"
144,2009 Audi A4 2.0T Quattro / AWD,"$8,695"
145,::2013::Ford::Explorer::XLT::4X4::,"$12,900"
146,Ford f250 Super duty 4x4 ZERO RUST 99k for miles!,"$5,750"
147,2006 Kia Amanti 67k miles!!!!!,"$6,700"
148,"2012 Nissan Maxima SV, 134k miles","$13,995"
149,"✔ ☆☆ SALE ☛  18  Dodge Charger, Hemi, AWD/4WD, Blue,  5.7L !!!!!","$6,999"
150,2014 Chrysler Town and Country Touring,"$5,299"
151,2003 Lexus GS 300 CLEAN! 140k,"$9,995"
152,"✔ ☆☆ SALE ☛  14  Dodge Charger, Hemi, AWD/4WD, Lead Foot Gray,  5.7L !","$6,600"
153,"2013 Chevrolet Sonic,  93k miles","$7,495"
154,2011 HONDA CRZ,"$6,995"
155,2008 SUBARU IMPREZA,"$7,995"
156,"✔ ☆☆ SALE ☛  13 Ford Explorer, AWD / 4WD,  Black !!!!!","$7,495"
157,2010 SUBARU LEGACY,"$7,995"
158,2007 TOYOTA  CAMRY XLE,"$4,000"
159,1999 F350 Super Duty 7.3 with Fisher Plow PARTS TRUCK,"$2,995"
160,2005 Chevrolet Silverado 1500 For Sale Chevy Pickup V8,"$5,000"
161,2007 E-250 Van,"$6,495"
162,2013 Chevrolet Malibu LT,"$3,900"
163,2008 Jeep Patriot,"$8,500"
164,1965 Ford Falcon 2Dr,"$9,995"
165,2010 BMW 5 Series 4dr Sdn 535i xDrive AWD Automatic Gray on B-Hartford,"$13,995"
166,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo","$10,495"
167,2010 BMW 5 Series 4dr Sdn 528i xDrive AWD Automatic-Hartford,"$14,995"
168,2013 Honda CRV EX AWD SUV One Owner,"$25,000"
169,2012 Chevy silverado 1500 LT One Owner,"$4,500"
170,2005 Toyota Camry LE,"$4,499"
171,For Sale 2008 Chevy Suburban LT 4x4,"$9,999"
172,2009 Subaru Legacy 4dr H4 Auto Special Edition CONTACTLESS PRE APPROVAL!!,"$15,995"
173,"An Impressive 2015 Audi A4 with 85,513 Miles-Hartford","$24,990"
174,2012 GMC Sierra 1500 SLE Crew Cab 4WD,"$7,495"
175,2009 TOYOTA COROLLA 1.8L 4 Cyl* Sedan* Economical* Great Safe Vehicle* *EASY FIN,"$3,500"
176,2012 Ford Fiesta S 180k,"$11,000"
177,2010 Volvo VNL Cummins ISX daycab,"$6,495"
178,2010 SUBARU IMPREZA OUTBACK SPORT * Manual Trans* Clean* Hatchback* WOW! *EASY F,"$8,495"
179,2009 SUBARU LEGACY 2.5I AWD Sedan* 4 Cyl* Clean* Ready To Go* *EASY FINANCING -,"$2,250"
180,1992 GMC 3500 HD Sealing Truck,"$69,990"
181,2018 Ford F-250 SD CREW CAB LARIAT DIESEL 4X,"$4,500"
182,2002 Lexus RX300,"$3,500"
183,2004 bmw 325ci,"$11,795"
184,2014 SUBARU OUTBACK 2.5I Premium AWD 4 Cyl* Clean* WOW* *EASY FINANCING - ALL AP,"$14,000"
185,1970 Chevy C10,"$59,990"
186,2017 Chevrolet Silverado 2500HD LTZ Crew Cab Long Box 4WD,"$5,500"
187,2010 Volkswagen CC,"$12,995"
188,2016 DODGE GRAND CARAVAN SE* Van* Clean* Must See  Drive* *EASY FINANCING -,"$14,500"
189,2016 Subaru legacy 2.5i PZEV Premium Sedan,$0
190,💥*🚗 -2013-RAM Ram Pickup 2500 Tradesman 4x4 4dr Crew Cab 6.3 ft.,"$21,000"
191,"2015 FORD EXPLORER SPORT 4WD 4DR SPORT CAR,VANS,OIL,TRUCKS,DUMP BODY ,UTILITY","$6,900"
192,2010 subaru forester,"$17,500"
193,"2012 PRICE REDUCTION !! N FRONTIER 4WD CREW CAB SWB AUTO SV CAR,VANS,OIL,TRUCKS,","$16,900"
194,2016 Isuzu NPR - GAS - Hackney Box 157k,"$12,499"
195,2017 SUBARU LEGACY AWD NICE,"$4,399"
196,2010 nissan altima 2.5 {{S}} push to start,"$39,995"
197,2016 Ford F-350 F350 F 350 SD XLT Crew Cab 4X4 Diesel w/ 9ft V SNOW PLOW 4x4 XLT,$0
198,💥🚗🚗- 2009  Chevrolet Silverado 1500-LT 4x4 2dr Regular Cab 6.5 ft.,"$10,995"
199,2012 Hyundai Tucson GLS AWD~~67K Miles!~~Reliable!~Finance HERE~DEAL~!,"$21,995"
200,2008 Ford F-350 F350 F 350 SD XLT 4x4 DUALLY DRW Diesel w/ Bed Cap Super Duty -,$500
201,1970 VW Karmann Ghia parts car,"$5,995"
202,2010 Nissan Altima 2.5S W/100K Miles!~~Reliable~~Finance HERE~~DEAL~~!,"$26,995"
203,2017 Ram ProMaster 1500 Cargo~92K~W/Roof Rack & Shelves~DEAL~Finance~!,"$12,995"
204,"✔ ☆☆ SALE ☛  16 Ford Explorer, SUV, AWD / 4WD, Blue, 3.5L Turbo, Ecobo",$588
205,"SLOW CREDIT, NO CREDIT NO PROBLEM-JUST PROVE STABLE INCOME@RESIDENCY","$24,995"
206,2015 Infiniti QX70 Base AWD,"$15,995"
207,✔ ☆☆ SALE ☛  14 FORD EXPLORER AWD / 4WD 68K MILES !!!!!,"$19,995"
